leerling,create,modify,undo,newmodel,redo,delete
leerling01,53,30,0,0,0,23
leerling02,23,20,0,0,0,6
leerling03,25,16,4,0,0,6
leerling04,34,18,0,0,0,14
leerling07,40,34,0,0,0,12
leerling08,35,24,0,0,0,9
leerling09,58,26,28,0,7,20
leerling11,42,24,5,0,0,16
leerling12,8,14,0,1,0,4
leerling13,49,22,5,0,4,13
leerling14,22,18,0,0,0,3
leerling15,19,13,0,0,0,3
leerling16,14,14,1,0,0,3
leerling17,54,34,5,0,1,18
leerling18,33,19,15,0,0,9
leerling19,17,20,0,0,0,1
leerling20,36,28,18,0,1,16
leerling21,33,32,0,0,0,11
