date,create,modify,undo,newmodel,redo,delete
2016-11-22 13:58:31,3,3,0,0,0,0
2016-11-22 14:03:31,0,0,0,0,0,0
2016-11-22 14:08:31,0,0,0,0,0,0
2016-11-22 14:13:31,0,0,0,0,0,0
2016-11-22 14:18:31,3,5,0,0,0,3
2016-11-22 14:23:31,2,0,0,0,0,2
2016-11-22 14:28:31,0,0,0,0,0,0
2016-11-22 14:33:31,0,0,0,0,0,0
2016-11-22 14:38:31,0,0,0,0,0,0
2016-11-22 14:43:31,0,0,0,0,0,0
2016-11-22 14:48:31,5,5,0,0,0,0
2016-11-22 14:53:31,0,0,0,0,0,0
2016-11-22 14:58:31,0,0,0,0,0,0
2016-11-22 15:03:31,0,0,0,0,0,0
2016-11-22 15:08:31,0,0,0,0,0,0
2016-11-22 15:13:31,0,0,0,0,0,0
2016-11-22 15:18:31,0,0,0,0,0,0
2016-11-22 15:23:31,0,0,0,0,0,0
2016-11-22 15:28:31,0,0,0,0,0,0
2016-11-22 15:33:31,0,0,0,0,0,0
